LOC,GENO,TAXA,range,row,BLOCK,Y,M,h1,h2,h3,h4
12EF,Mila,PI506058,1,1,1,13.24563744,0.621061137,0.21,1.25,2.3,3.3
12EF,PRE0465,PI155138,1,2,1,12.25370151,0.671696855,0.264,1.25,2.2,3.2
12EF,PRE1022,PI329902,1,3,1,4.241176124,0.761376424,0.265,1.15,2.05,2.4
12EF,PRE0139,PI276790,1,4,1,7.478768231,0.74237839,0.247,1.4,2.45,3.7
12EF,PRE0237,PI570719,1,5,1,4.498335101,0.755072016,0.321,1.2,1.95,2.65
12EF,PRE0028,PI148089,1,6,1,9.348920398,0.764476116,0.298,1.3,2.55,3.75
12EF,PRE0049,PI152595,1,7,1,NA,NA,0.237,0.8,1.95,2.15
12EF,E105,PI297171,1,8,1,9.008475783,0.689684455,0.236,0.95,2.15,3.35
12EF,PRE0500,NSL55745,1,9,1,7.044025855,0.795005956,0.223,0.95,1.85,2.6
12EF,PRE0006,PI147837,1,10,1,NA,NA,0.228,0.75,1.85,2.85
12EF,PRE0016,PI147933,1,11,1,3.927760094,0.771389985,0.23,0.95,2.3,3.1
12EF,ZMA_5356,PI505737,1,12,1,5.213095857,0.648031337,0.273,1.25,2.4,3.55
12EF,PRE0240,NSL55665,1,13,2,11.49352503,0.604081804,0.249,1.4,2.3,3.4
12EF,PRE0212,PI291237,1,14,2,13.97634257,0.606820757,0.291,1.4,2.35,3.55
12EF,PRE0069,PI153824,1,15,2,2.354613361,0.790822822,0.205,1,1.75,2.25
12EF,PRE0196,PI248313,1,16,2,8.722703576,0.579339856,0.249,1.5,2.55,3.75
12EF,PRE1211,NSL102183,1,17,2,3.954825007,0.732985062,0.216,0.95,1.85,2.55
12EF,PRE0671,NSL51603,1,18,2,13.1961024,0.563259168,0.27,1.5,2.5,3.4
12EF,PRE0042,NSL52312,1,19,2,6.964301579,0.706122813,0.193,0.9,1.75,2.15
12EF,PRE0704,NSL51876,1,20,2,7.570572197,0.634902417,0.25,1.5,2.35,3.45
12EF,ZMA_5376,PI505740,1,21,2,10.12649799,0.671296572,0.267,1.35,2.05,3.45
12EF,PRE0068,PI153800,1,22,2,3.701684865,0.750076134,0.245,1.25,2.15,3.1
12EF,PRE0041,PI148114,1,23,2,11.08369876,0.712180872,0.27,1.35,2.35,3.35
12EF,PRE1022,PI329902,1,24,2,3.375241134,0.762621238,0.241,1.2,1.85,2.9
12EF,PRE0348,PI660601,2,1,1,11.5099297,0.611446377,0.264,1.55,2.75,3.6
12EF,PRE1476,NSL365799,2,2,1,9.770051375,0.633534893,0.234,1.15,2.2,2.95
12EF,Kalaicou,PI506078,2,3,1,8.354071076,0.764985201,0.277,1.1,2.25,3.35
12EF,PRE0166,PI276829,2,4,1,3.683155936,0.751327137,0.274,1.4,2.35,3.25
12EF,PRE0320,PI282835,2,5,1,7.168774833,0.747912101,0.246,1.3,2.25,3
12EF,PRE0109,PI257598,2,6,1,12.51937966,0.59362427,0.338,1.85,2.95,3.7
12EF,PRE1261,PI571151,2,7,1,8.502873828,0.658284451,0.269,1.55,2.85,3.4
12EF,ZMA_5379,PI505741,2,8,1,12.24169446,0.704816694,0.281,1.3,2.1,3.15
12EF,PRE0396,NSL54147,2,9,1,8.904171349,0.768778375,0.201,1.1,2.15,2.9
12EF,PRE0136,PI276787,2,10,1,4.210429893,0.736784796,0.228,0.95,1.75,2.45
12EF,PRE0020,PI147939,2,11,1,2.257687522,0.775837373,0.299,1.15,2.1,2.6
12EF,PRE0790,NSL50350,2,12,1,5.687140814,0.753862565,0.185,1.15,1.9,2.6
12EF,PRE0166,PI276829,2,13,2,1.361244707,0.712793336,0.26,1.3,2.55,3.1
12EF,PRE0224,PI563509,2,14,2,6.015592011,0.623935009,0.305,1.2,2.05,2.55
12EF,PRE0051,PI152611,2,15,2,9.207498042,0.732044955,0.226,1.2,1.9,2.95
12EF,PRE0123,PI276769,2,16,2,9.466322541,0.742286064,0.303,1.35,2.8,3.4
12EF,PRE0320,PI282835,2,17,2,7.665582314,0.741224329,0.254,1.15,2,3
12EF,PRE0420,PI570969,2,18,2,NA,NA,0.31,1.15,1.9,2.6
12EF,PRE0317,PI660571,2,19,2,11.12677335,0.573160246,0.23,1.2,2.15,3.05
12EF,PRE0062,PI152730,2,20,2,9.366802997,0.701692747,0.246,1,1.95,2.55
12EF,PRE0012,PI147922,2,21,2,4.42269689,0.751163424,0.291,1.25,2.15,2.95
12EF,PRE0132,PI276783,2,22,2,10.81351404,0.710282589,0.287,1.45,2.55,3.25
12EF,PRE0372,PI660600,2,23,2,4.517935026,0.694965987,0.203,1.3,2.2,3.2
12EF,PRE1330,NSL365760,2,24,2,2.791912623,0.751974395,0.227,1,2,2.95
12EF,PRE0035,PI148104,3,1,1,9.778319806,0.656148205,0.404,2,3.3,3.65
12EF,PRE0019,PI147937,3,2,1,4.170853189,0.739258935,0.304,1.4,2.15,3.55
12EF,ES5200,commercial hybrid,3,3,1,10.71437061,0.698585799,0.368,1.8,2.25,3.75
12EF,PRE0200,PI248318,3,4,1,4.006749032,0.692590166,0.246,1.4,2.8,3.65
12EF,PRE0038,PI148108,3,5,1,8.809017167,0.787588653,0.381,1.7,2.85,3.9
12EF,PRE1160,PI330734,3,6,1,3.404434385,0.808454475,0.307,1.25,1.95,1.95
12EF,PRE0689,PI267412,3,7,1,10.90303609,0.551138983,0.25,1.5,2.65,3.7
12EF,PRE0025,PI148086,3,8,1,13.07146905,0.6441385,0.338,1.7,2.9,3.7
12EF,PRE0069,PI153824,3,9,1,4.313850739,0.739950886,0.298,1.15,2.35,3
12EF,PRE0414,PI152621,3,10,1,6.589728307,0.69103214,0.368,1.15,1.6,2.15
12EF,PRE0138,PI276789,3,11,1,2.65094025,0.805454854,0.278,1.35,2.2,2.8
12EF,PRE0124,PI276770,3,12,1,NA,NA,0.265,1.45,2.3,2.95
12EF,PRE0467,NSL55643,3,13,2,7.214216265,0.631002424,0.36,2,3.1,3.75
12EF,PRE0035,PI148104,3,14,2,5.530773075,0.640945158,0.343,2.1,2.6,3.75
12EF,PRE0370,PI660595,3,15,2,14.67240222,0.660744685,0.323,1.6,2.25,3.8
12EF,PRE0301,NSL51030,3,16,2,5.695256133,0.656676505,0.273,1.6,3.25,3.35
12EF,PRE0800,PI571000,3,17,2,5.41227816,0.6849856,0.271,1.6,2.45,3.45
12EF,PRE0808,PI267366,3,18,2,12.30781362,0.557990759,0.267,1.5,2.35,3.4
12EF,PRE0331,PI221662,3,19,2,13.55144155,0.653430885,0.314,1.4,1.35,3.15
12EF,PRE1070,PI660630,3,20,2,6.352579632,0.664920055,0.301,1.05,2.35,2.35
12EF,PRE0332,NSL51836,3,21,2,8.069786403,0.683231579,0.381,1.45,2.6,3.15
12EF,PRE0241,NSL52313,3,22,2,9.569923292,0.641041502,0.332,1.65,2.3,3.3
12EF,PRE0498,NSL55743,3,23,2,6.690702072,0.731112448,0.232,1.35,NA,3.2
12EF,PRE0021,PI147938,3,24,2,NA,NA,NA,NA,NA,NA
12EF,PRE0333,PI267650,4,1,1,9.560150605,0.624729372,0.343,1.5,3.15,3.75
12EF,PRE1330,NSL365760,4,2,1,3.569086386,0.713129387,0.282,1.45,2.15,3
12EF,PRE0191,PI246716,4,3,1,12.74193769,0.578290294,0.33,2,3.25,3.4
12EF,ZMA_5288,PI505716,4,4,1,9.374447901,0.736280195,0.276,1.55,3.25,3.85
12EF,PRE0021,PI147938,4,5,1,1.522068221,0.743089168,0.263,1.15,1.95,2.5
12EF,PRE0217,PI563507,4,6,1,10.88002071,0.562751098,0.303,2.15,3.6,3.6
12EF,PRE0468,PI643722,4,7,1,6.736264288,0.692697786,0.346,2.3,2.65,2.65
12EF,PRE0425,PI571001,4,8,1,6.512022571,0.771006605,0.357,1.4,2.3,3.1
12EF,PRE1446,PI505705,4,9,1,8.01630756,0.729384503,0.342,1.3,2.8,3.35
12EF,PRE0022,PI148083,4,10,1,13.27378449,0.705198651,0.321,2.05,3.2,3.95
12EF,PRE0261,PI660556,4,11,1,6.214509028,0.672202874,0.313,1.65,2.4,3.3
12EF,PRE0033,PI148101,4,12,1,9.606612258,0.705180728,0.318,1.85,3.1,3.75
12EF,PRE0574,PI647747,4,13,2,11.44705092,0.642193562,0.327,1.5,2,3.05
12EF,PRE0079,PI153859,4,14,2,0.525060166,0.778436929,0.308,1.3,1.45,2.2
12EF,PRE1019,PI329836,4,15,2,5.205920376,0.725402968,0.308,1.35,2.1,3.05
12EF,PRE0033,PI148101,4,16,2,7.458303735,0.720246294,0.373,1.8,2.8,3.5
12EF,PRE0141,PI276792,4,17,2,6.447126006,0.76343166,0.229,1.45,2.15,2.85
12EF,PRE0027,PI148088,4,18,2,5.507605307,0.778659027,0.31,1.45,2.05,2.65
12EF,MA38,PI508366,4,19,2,12.91342023,0.636722642,0.308,1.45,2.3,2.95
12EF,PRE0048,PI152591,4,20,2,9.447653767,0.667775981,0.286,1.5,2.2,2.95
12EF,PRE0851,PI267525,4,21,2,4.158108596,0.532100195,0.377,2.1,2.6,2.6
12EF,PRE0572,PI660605,4,22,2,9.375530795,0.623213902,0.324,1.25,1.8,2.25
12EF,PRE0138,PI276789,4,23,2,6.248156902,0.736342438,0.309,1.4,2.05,2.6
12EF,PRE0030,PI148097,4,24,2,NA,NA,NA,NA,NA,NA
12EF,PRE0012,PI147922,5,1,1,5.818605224,0.741545801,0.357,1.6,2.45,2.45
12EF,PRE0068,PI153800,5,2,1,5.336349708,0.678312232,0.285,1.4,2.2,2.8
12EF,PRE0134,PI276785,5,3,1,7.818785936,0.755604132,0.342,1.85,2.55,2.6
12EF,PRE0467,NSL55643,5,4,1,7.249749275,0.686233426,0.335,1.75,2.95,3.75
12EF,PRE0226,PI152588,5,5,1,6.457813628,0.71315307,0.314,2.5,3.1,3.1
12EF,PRE0386,PI660598,5,6,1,6.447144409,0.746926169,0.28,1.35,2.65,3.3
12EF,PRE0063,PI152731,5,7,1,12.54805832,0.679091745,0.334,1.25,2.35,2.95
12EF,PRE0991,PI330981,5,8,1,2.425598945,0.627801511,0.257,1.25,2.55,3.5
12EF,PRE0574,PI647747,5,9,1,8.875036358,0.758383412,0.261,1.4,2.8,3.35
12EF,PRE0041,PI148114,5,10,1,11.76893873,0.72409911,0.31,1.85,3.3,4.1
12EF,PRE0043,PI151198,5,11,1,1.988217421,0.720339632,0.282,1.15,1.7,2.45
12EF,PRE1047,PI329311,5,12,1,8.681431162,0.694719978,0.275,1.8,3.15,4
12EF,PRE1038,PI330886,5,13,2,5.327195461,0.709941742,0.297,1.7,2.2,3.25
12EF,PRE1156,PI330098,5,14,2,12.49941722,0.601927486,0.273,1.9,3.2,4.25
12EF,PRE0022,PI148083,5,15,2,7.974521022,0.700883487,0.309,2.05,3.3,4.1
12EF,PRE0562,PI570751,5,16,2,10.17188221,0.656616349,0.352,1.7,3.25,4.3
12EF,PRE0295,NSL50601,5,17,2,5.190741836,0.717371449,0.308,1,2.25,2.9
12EF,PRE0061,PI152727,5,18,2,NA,NA,0.278,1.5,2.5,3.45
12EF,PRE0063,PI152731,5,19,2,1.895241271,0.73341755,0.284,1.35,2.35,2.85
12EF,PRE0553,PI660566,5,20,2,11.14136549,0.59988129,0.311,1.65,2.5,3.2
12EF,Pacesetter,commercial hybrid,5,21,2,19.27446598,0.588183674,0.376,1.8,2.9,3.2
12EF,PRE0109,PI257598,5,22,2,11.07131492,0.593753466,0.41,2.2,3.1,3.7
12EF,PRE0056,PI152702,5,23,2,10.52903072,0.664678949,0.243,1.45,2.45,3.15
12EF,PRE0525,NSL50688,5,24,2,4.894257574,0.70496259,0.374,1.3,2.4,3.2
12EF,PRE0053,PI152636,6,1,1,7.144810157,0.655435171,0.229,1.35,2.45,3.6
12EF,PRE0058,PI152705,6,2,1,10.04041625,0.667700385,0.272,1.4,2.45,3.6
12EF,Epo,PI506122,6,3,1,5.62857178,0.743229704,0.232,1.35,2.3,3.45
12EF,PRE0558,NSL51678,6,4,1,2.716229475,0.808969148,0.272,1.7,2.75,3.35
12EF,PRE0056,PI152702,6,5,1,7.957510938,0.731369367,0.237,1.55,2.5,3.35
12EF,Pacesetter,commercial hybrid,6,6,1,12.59424387,0.682717885,0.272,1.75,2.75,3.6
12EF,PRE0235,PI267614,6,7,1,8.453151641,0.780490359,0.272,1.7,2.85,3.6
12EF,PRE1246,PI660620,6,8,1,4.712788299,0.743395343,0.198,1.1,2.1,3.05
12EF,PRE0007,PI147838,6,9,1,2.640668391,0.828569215,0.291,1.15,1.7,2.45
12EF,PRE1015,PI329719,6,10,1,8.399480024,0.684943689,0.247,1.85,3.2,4.45
12EF,PRE1033,PI330174,6,11,1,7.644171441,0.669162974,0.318,1.6,2.7,3.35
12EF,PRE0023,PI148084,6,12,1,7.262918242,0.744601575,0.301,1.9,3.1,4.15
12EF,PRE0111,PI257600,6,13,2,6.34919056,0.725209287,0.297,1.95,3.15,3.5
12EF,PRE0450,NSL55043,6,14,2,11.69517877,0.588742413,0.36,2,3.15,3.85
12EF,PRE1033,PI330174,6,15,2,8.959143594,0.656313782,0.334,1.6,2.7,3.55
12EF,PRE0199,PI248317,6,16,2,6.440955964,0.721237713,0.282,1.5,2.4,3.35
12EF,PRE0991,PI330981,6,17,2,6.867787325,0.659053515,0.271,1.45,2.45,3.5
12EF,ES5200,commercial hybrid,6,18,2,16.20713795,0.62005378,0.344,1.8,2.95,3.7
12EF,PRE0124,PI276770,6,19,2,6.440907887,0.706171674,0.297,1.55,2.05,2.55
12EF,PRE1262,PI571191,6,20,2,11.12534853,0.638874149,0.364,1.65,2.8,3.65
12EF,PRE0226,PI152588,6,21,2,4.826689427,0.592650061,0.328,2.05,2.85,2.85
12EF,PRE0309,PI152594,6,22,2,6.449029689,0.740824836,0.263,1.65,2.6,3.05
12EF,PRE1015,PI329719,6,23,2,12.07823276,0.660217944,0.255,1.9,3,4.2
12EF,PRE0386,PI660598,6,24,2,5.924720203,0.696958434,0.277,1.4,2.4,3.25
12EF,PRE0450,NSL55043,7,1,1,9.625525215,0.613167066,0.296,1.85,2.9,3.85
12EF,PRE1014,PI329707,7,2,1,10.50729241,0.64529353,0.299,1.55,2.5,3.2
12EF,PRE1203,PI383856,7,3,1,8.424453076,0.635392662,0.235,1.4,2.55,4
12EF,PRE0210,PI291234,7,4,1,7.694890519,0.648966134,0.256,1.75,3.25,3.4
12EF,PRE0224,PI563509,7,5,1,3.87055778,0.836671543,0.272,1.1,2.05,2.95
12EF,PRE0418,NSL54297,7,6,1,4.205817337,0.746463394,0.213,1,1.75,2.05
12EF,PRE0800,PI571000,7,7,1,7.632984846,0.609582967,0.257,1.55,3.25,3.75
12EF,PRE0048,PI152591,7,8,1,NA,NA,0.28,1.15,2.1,2.7
12EF,Belko2,PI506039,7,9,1,7.87751382,0.758245381,0.208,1.05,2.15,3
12EF,PRE0027,PI148088,7,10,1,5.182772995,0.786633307,0.247,1.25,1.75,2.55
12EF,PRE0671,NSL51603,7,11,1,9.514473079,0.713222542,0.285,1.55,3,3.7
12EF,PRE0301,NSL51030,7,12,1,6.522302492,0.74979467,0.143,1.25,2.3,3.2
12EF,Epo,PI506122,7,13,2,7.846009573,0.684682671,0.29,1.05,2.35,3.2
12EF,PRE0951,PI152856,7,14,2,9.253357804,0.710762971,0.263,1.15,1.8,2.45
12EF,PRE1263,PI571201,7,15,2,5.188047452,0.708102093,0.277,1.2,1.9,2.45
12EF,PacesetterBMR,commercial hybrid,7,16,2,13.7416677,0.71713847,0.349,1.6,2.55,3.3
12EF,Sorgrass,PI563222,7,17,2,6.777468916,0.720982159,0.339,1.45,2.4,3
12EF,PRE1329,NSL365759,7,18,2,8.988557284,0.755292885,0.243,1.25,2.4,2.95
12EF,PRE1261,PI571151,7,19,2,5.942300363,0.67645015,0.181,1.5,2.6,3.45
12EF,PRE0329,NSL51691,7,20,2,14.77895943,0.671769782,0.229,1.45,2.55,3.15
12EF,PRE0139,PI276790,7,21,2,10.40371484,0.655676583,0.291,1.8,2.8,4.1
12EF,PRE0413,PI660603,7,22,2,6.740552213,0.747168454,0.249,1.25,2.15,3.6
12EF,PRE0053,PI152636,7,23,2,7.719489505,0.72277077,0.241,1.25,2.2,3.25
12EF,PRE0468,PI643722,7,24,2,5.99339063,0.638704253,0.236,1.8,2.45,2.55
12EF,PRE0413,PI660603,8,1,1,6.154754518,0.675354749,0.198,1.1,2,3
12EF,ZMA_5345,PI505735,8,2,1,9.858442617,0.653330709,0.189,1.25,2.4,3.1
12EF,PRE0564,PI660588,8,3,1,5.889529283,0.751475682,0.143,1.15,2,2.8
12EF,PRE1329,NSL365759,8,4,1,4.379108143,0.788813612,0.184,1.05,2,3
12EF,PRE0498,NSL55743,8,5,1,4.982473653,0.794879319,0.194,1.2,2.3,3.1
12EF,PRE0808,PI267366,8,6,1,8.329031659,0.657106737,0.165,1.1,2.15,2.95
12EF,PRE0212,PI291237,8,7,1,NA,NA,0.191,1.3,2.45,3.7
12EF,PRE0295,NSL50601,8,8,1,3.992658528,0.750398782,0.195,1.05,1.6,3.05
12EF,PRE1155,PI330095,8,9,1,8.696849603,0.755342234,0.265,1.5,2.9,3.65
12EF,PRE0241,NSL52313,8,10,1,6.36055045,0.693256793,0.204,1.25,2.4,3.4
12EF,PRE0030,PI148097,8,11,1,3.199299528,0.729994132,0.147,1.35,2.1,2.95
12EF,PRE0947,PI185458,8,12,1,NA,NA,0.122,1.35,2.1,2.85
12EF,PRE1184,PI329686,8,13,2,9.753998703,0.695114177,0.264,1.15,1.9,2.8
12EF,PRE1124,PI651141,8,14,2,7.915925474,0.703081349,0.302,1.15,1.95,2.8
12EF,PRE0970,PI297117,8,15,2,6.773364446,0.727790392,0.244,1.1,1.65,2.45
12EF,MA56,PI508367,8,16,2,7.903521969,0.757447212,0.172,1.05,1.85,2.3
12EF,PRE1215,NSL365720,8,17,2,4.566010445,0.81202446,0.203,1.05,1.55,2.45
12EF,PRE0235,PI267614,8,18,2,12.69218479,0.675405806,0.257,1.5,2.25,3.05
12EF,PRE0299,NSL50827,8,19,2,6.157432924,0.711300863,0.155,1.05,1.6,2.75
12EF,PRE1440,PI522160,8,20,2,7.076800657,0.557593505,0.115,1.05,1.65,2.7
12EF,PRE1321,NSL365751,8,21,2,7.215877272,0.630917465,0.189,1.15,1.7,2.25
12EF,ZMA_5356,PI505737,8,22,2,7.965199119,0.687337009,0.227,1.5,2.7,3.3
